Test-ID;Tester;Datum_Uhrzeit;Version;Umgebung;Soll;Ist;Resultat_PASS_FAIL;Defect-ID;Evidenz
TC-10;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Administrator darf den Task von Alice bearbeiten;HTTP 200 und Status von t1 wurde auf DONE geändert während ownerId u1 erhalten blieb;PASS;;Evidenz/API-08-admin-task-body.png und Evidenz/API-08-admin-token.png
TC-15;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Task mit ungültiger Priorität wird abgewiesen;HTTP 400 mit Validierungsfehler priority ist ungueltig;PASS;;Evidenz/API-09-prioritaet-ungueltig.png
TC-16;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Ungültiges JSON liefert HTTP 400 ohne interne Details;HTTP 500 mit SyntaxError Stacktrace Dateipfaden und Zeilennummern;FAIL;DEF-05;Evidenz/API-10-json-ungueltig.png
TC-03;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Falsches Passwort liefert HTTP 401 ohne Token;HTTP 401 mit Ungueltige Anmeldedaten und ohne Token;PASS;;Evidenz/API-03-login-fehlerhaft.png
TC-06;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Zugriff ohne Token liefert HTTP 401 und keine Taskdaten;HTTP 401 mit Nicht authentifiziert und ohne Taskdaten;PASS;;Evidenz/API-04-ohne-token.png
TC-02;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Gültiger Login liefert HTTP 200 mit Token und Benutzerrolle;HTTP 200 mit token-alice Benutzer-ID u1 und Rolle employee;PASS;;Evidenz/API-02-login-erfolgreich.png
TC-01;Sladjan;12.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Health Check liefert HTTP 200 mit Status und Version;HTTP 200 mit status ok und version 1.4.0-rc1;PASS;;Evidenz/API-01-health.png
TC-04;Sladjan;18.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Konto wird nach fünf aufeinanderfolgenden Fehlversuchen gesperrt und der nächste Login liefert HTTP 423;Nach fünf Fehlversuchen war das Konto noch nicht gesperrt die Sperrung erfolgte erst nach dem sechsten Fehlversuch;FAIL;DEF-06;Evidenz/API-11-kontosperre-erst-nach-sechs-fehlversuchen.png
TC-05;Sladjan;18.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Ein erfolgreicher Login setzt vorherige Fehlversuche auf 0 zurück und nach vier weiteren Fehlversuchen ist der nächste korrekte Login möglich;Nach vier Fehlversuchen und einem erfolgreichen Login führten zwei weitere Fehlversuche zur Kontosperre der Zähler wurde nicht zurückgesetzt;FAIL;DEF-07;Evidenz/API-12-fehlversuche-werden-nicht-zurueckgesetzt.png
TC-14;Sladjan;18.09.2026;1.4.0-rc1 nach DEF-02 Fix;Windows Postman;Ein Titel mit genau 100 Zeichen wird akzeptiert und vollständig gespeichert;HTTP 201 der vollständige Titel wurde mit Priorität MEDIUM Status OPEN und ownerId u1 gespeichert;PASS;;Evidenz/API-13-titel-mit-100-zeichen.png
